namaste_code,namaste_display,icd11_code,icd11_display,equivalence,justification
NAMC-ASU.1.1,Jwara,MG21,Fever of unknown or unspecified origin,wider,"Jwara in Ayurveda is a complex systemic condition where fever is the primary symptom, but it encompasses specific pathological states (e.g., Vataja, Pittaja). ICD-11's 'Fever' is a broader symptomatic category, lacking the specific etiological context of Jwara."
NAMC-ASU.1.4,Kasa,PB22,Cough,equivalent,"Both terms describe the clinical symptom of a forceful expulsion of air from the lungs. The scope is a direct match at the symptomatic level, making them equivalent for morbidity coding."
NAMC-ASU.1.5,Shwasa,PB00,Dyspnoea,wider,"Shwasa covers a range of breathing difficulties, from dyspnoea to conditions akin to bronchial asthma. Dyspnoea is the closest symptomatic match but is wider as Shwasa often implies a more specific disease entity in Ayurveda."
NAMC-ASU.1.8,Pratishyaya,CA00,Common cold,equivalent,"Both terms refer to acute viral nasopharyngitis, characterized by symptoms like nasal discharge, sneezing, and congestion. The clinical presentation and scope are identical."
NAMC-ASU.2.1,Atisara,ME05,Diarrhoea,equivalent,"Atisara and Diarrhoea both describe the condition of having at least three loose or liquid bowel movements each day. The core clinical definition is the same, making this a direct equivalence."
NAMC-ASU.2.2,Chhardi,MD91,Vomiting,equivalent,"Both terms refer to the forceful, involuntary expulsion of the contents of the stomach through the mouth. The concepts are clinically identical."
NAMC-ASU.2.5,Agnimandya,SF20.1,Indigestion disorder,equivalent,"Agnimandya specifically refers to diminished digestive fire leading to indigestion. This aligns perfectly with the ICD-11 TM2 concept of Indigestion disorder, which represents a functional disturbance rather than just a symptom."
NAMC-ASU.2.6,Amlapitta,SF20.0,Hyperacidity disorder,equivalent,"Amlapitta is the classic Ayurvedic term for a condition characterized by heartburn and acid reflux, matching the definition of the ICD-11 TM2 code for Hyperacidity disorder."
NAMC-ASU.2.7,Grahani,SF22.3,Irritable bowel syndrome like disorder,related-to,"Grahani describes a condition of malabsorption and altered bowel function, with significant overlap with IBS and IBD. The ICD-11 TM2 code for an 'IBS like disorder' is the best fit, acknowledging the similar symptomatic pattern from a traditional medicine perspective."
NAMC-ASU.2.9,Vibandha,ME06.0,Constipation,equivalent,Both Vibandha and Constipation describe the condition of difficult or infrequent bowel movements. The clinical meaning is the same.
